model,training_seed,noise_seed,saltpepper_probability,threshold,trainable_parameters,train_samples,validation_samples,test_samples,accuracy,precision,recall,f1,pr_auc,tp,fp,fn,tn,clean_f1,f1_drop,f1_retention
Schmidt-QPP QNN L2,29,3001,0.03,0.5482865324830994,25,4500,1500,1500,0.338,0.2290852228303362,0.9766666666666667,0.37112096263457883,0.21274503500948527,293,986,7,214,0.8738461538461538,0.502725191211575,0.4246982847050638
TinyMLP h5 (lambda12),29,3001,0.03,0.5658007902903174,21,4500,1500,1500,0.6193333333333333,0.3429895712630359,0.9866666666666667,0.5090283748925194,0.7563855399828986,296,567,4,633,0.927536231884058,0.4185078569915386,0.5487962166809974
TinyMLP h5 (mu12),29,3001,0.03,0.47414915385743567,21,4500,1500,1500,0.338,0.2290852228303362,0.9766666666666667,0.37112096263457883,0.21274503500948527,293,986,7,214,0.8738461538461538,0.502725191211575,0.4246982847050638
Schmidt-QPP QNN L2,29,1001,0.05,0.5482865324830994,25,4500,1500,1500,0.2653333333333333,0.21357142857142858,0.9966666666666667,0.3517647058823529,0.1961192212696099,299,1101,1,99,0.8738461538461538,0.522081447963801,0.4025476387738194
TinyMLP h5 (lambda12),29,1001,0.05,0.5658007902903174,21,4500,1500,1500,0.43,0.2593235039028621,0.9966666666666667,0.4115622849277356,0.6096293011433364,299,854,1,346,0.927536231884058,0.5159739469563224,0.44371558843771497
TinyMLP h5 (mu12),29,1001,0.05,0.47414915385743567,21,4500,1500,1500,0.2653333333333333,0.21357142857142858,0.9966666666666667,0.3517647058823529,0.19611922126960987,299,1101,1,99,0.8738461538461538,0.522081447963801,0.4025476387738194
Schmidt-QPP QNN L2,29,2003,0.05,0.5482865324830994,25,4500,1500,1500,0.2806666666666667,0.21548575602629658,0.9833333333333333,0.35350509286998205,0.1974598614635263,295,1074,5,126,0.8738461538461538,0.5203410609761718,0.4045392788124795
TinyMLP h5 (lambda12),29,2003,0.05,0.5658007902903174,21,4500,1500,1500,0.43466666666666665,0.26048951048951047,0.9933333333333333,0.4127423822714681,0.5884631062964953,298,846,2,354,0.927536231884058,0.5147938496125899,0.44498788088642655
TinyMLP h5 (mu12),29,2003,0.05,0.47414915385743567,21,4500,1500,1500,0.2806666666666667,0.21548575602629658,0.9833333333333333,0.35350509286998205,0.1974598614635263,295,1074,5,126,0.8738461538461538,0.5203410609761718,0.4045392788124795
Schmidt-QPP QNN L2,29,3001,0.05,0.5482865324830994,25,4500,1500,1500,0.276,0.21397379912663755,0.98,0.3512544802867384,0.2014671437241875,294,1080,6,120,0.8738461538461538,0.5225916735594154,0.4019637538492605
TinyMLP h5 (lambda12),29,3001,0.05,0.5658007902903174,21,4500,1500,1500,0.42333333333333334,0.25625539257981017,0.99,0.40712816997943796,0.6634225372402905,297,862,3,338,0.927536231884058,0.5204080619046201,0.4389350582590815
TinyMLP h5 (mu12),29,3001,0.05,0.47414915385743567,21,4500,1500,1500,0.276,0.21397379912663755,0.98,0.3512544802867384,0.2014671437241875,294,1080,6,120,0.8738461538461538,0.5225916735594154,0.4019637538492605
Schmidt-QPP QNN L2,29,1001,0.08,0.5482865324830994,25,4500,1500,1500,0.226,0.20493488690884168,0.9966666666666667,0.33996588971006253,0.19213289966331787,299,1160,1,40,0.8738461538461538,0.5338802641360914,0.38904547237947296
TinyMLP h5 (lambda12),29,1001,0.08,0.5658007902903174,21,4500,1500,1500,0.2806666666666667,0.21754894851341552,1.0,0.35735556879094704,0.404259018836523,300,1079,0,121,0.927536231884058,0.570180663093111,0.38527397260273977
TinyMLP h5 (mu12),29,1001,0.08,0.47414915385743567,21,4500,1500,1500,0.226,0.20493488690884168,0.9966666666666667,0.33996588971006253,0.19213289966331787,299,1160,1,40,0.8738461538461538,0.5338802641360914,0.38904547237947296
Schmidt-QPP QNN L2,29,2003,0.08,0.5482865324830994,25,4500,1500,1500,0.22733333333333333,0.2039972432804962,0.9866666666666667,0.3380925185608224,0.20563528846359086,296,1155,4,45,0.8738461538461538,0.5357536352853314,0.3869016497615045
TinyMLP h5 (lambda12),29,2003,0.08,0.5658007902903174,21,4500,1500,1500,0.2906666666666667,0.21994134897360704,1.0,0.3605769230769231,0.413202478903181,300,1064,0,136,0.927536231884058,0.566959308807135,0.3887469951923077
TinyMLP h5 (mu12),29,2003,0.08,0.47414915385743567,21,4500,1500,1500,0.22733333333333333,0.2039972432804962,0.9866666666666667,0.3380925185608224,0.20563528846359086,296,1155,4,45,0.8738461538461538,0.5357536352853314,0.3869016497615045
Schmidt-QPP QNN L2,29,3001,0.08,0.5482865324830994,25,4500,1500,1500,0.22933333333333333,0.20523415977961432,0.9933333333333333,0.3401826484018265,0.19942947549908674,298,1154,2,46,0.8738461538461538,0.5336635054443273,0.3892935236992733
